i,im[i]= 0 10
i,im[i]= 1 2
i,im[i]= 2 3
i,im[i]= 3 7
i,im[i]= 4 12
i,im[i]= 5 19
i,im[i]= 6 2
i,im[i]= 7 1
i,im[i]= 8 3
i,im[i]= 9 2
i,im[i]= 10 1
i,im[i]= 11 2
i,im[i]= 12 2
i,im[i]= 13 2
i,im[i]= 14 4
i,im[i]= 15 7
i,im[i]= 16 13
i,im[i]= 17 18
i,im[i]= 18 66
i,im[i]= 19 16
i,im[i]= 20 14
i,im[i]= 21 6
i,im[i]= 22 6
i,im[i]= 23 8
i,im[i]= 24 13
i,im[i]= 25 8
i,im[i]= 26 11
i,im[i]= 27 17
i,im[i]= 28 11
i,im[i]= 29 9
i,im[i]= 30 12
i,im[i]= 31 18
i,im[i]= 32 10
i,im[i]= 33 13
i,im[i]= 34 10
i,im[i]= 35 14
i,im[i]= 36 20
i,im[i]= 37 11
i,im[i]= 38 14
i,im[i]= 39 19
i,im[i]= 40 13
i,im[i]= 41 14
ic,j,angleg[ic][j]= 0 0 2.706742e-016
ic,j,angleg[ic][j]= 0 1 3.141593e+000
ic,j,angleg[ic][j]= 0 2 3.141593e+000
ic,j,angleg[ic][j]= 0 3 3.141593e+000
ic,j,angleg[ic][j]= 0 4 3.141593e+000
ic,j,angleg[ic][j]= 0 5 3.141593e+000
ic,j,angleg[ic][j]= 0 6 1.000000e+010
ic,j,angleg[ic][j]= 0 7 1.000000e+010
ic,j,angleg[ic][j]= 0 8 1.000000e+010
ic,j,angleg[ic][j]= 0 9 1.000000e+010
ic,j,angleg[ic][j]= 1 0 3.483659e-001
ic,j,angleg[ic][j]= 1 1 3.489959e+000
ic,j,angleg[ic][j]= 2 0 1.144856e-001
ic,j,angleg[ic][j]= 2 1 1.959370e-001
ic,j,angleg[ic][j]= 2 2 3.303786e+000
ic,j,angleg[ic][j]= 3 0 1.032194e-002
ic,j,angleg[ic][j]= 3 1 7.732228e-002
ic,j,angleg[ic][j]= 3 2 7.998486e-002
ic,j,angleg[ic][j]= 3 3 8.806661e-002
ic,j,angleg[ic][j]= 3 4 3.188720e+000
ic,j,angleg[ic][j]= 3 5 3.412574e+000
ic,j,angleg[ic][j]= 3 6 6.148368e+000
ic,j,angleg[ic][j]= 4 0 1.908476e-001
ic,j,angleg[ic][j]= 4 1 1.218279e+000
ic,j,angleg[ic][j]= 4 2 1.610665e+000
ic,j,angleg[ic][j]= 4 3 2.033466e+000
ic,j,angleg[ic][j]= 4 4 2.166057e+000
ic,j,angleg[ic][j]= 4 5 2.275636e+000
ic,j,angleg[ic][j]= 4 6 2.926388e+000
ic,j,angleg[ic][j]= 4 7 5.353110e+000
ic,j,angleg[ic][j]= 4 8 5.471691e+000
ic,j,angleg[ic][j]= 4 9 5.580022e+000
ic,j,angleg[ic][j]= 4 10 5.794884e+000
ic,j,angleg[ic][j]= 4 11 6.122981e+000
ic,j,angleg[ic][j]= 5 0 9.756681e-002
ic,j,angleg[ic][j]= 5 1 4.207649e-001
